"aftParamId","givingInDistributionMean","givingInDistributionSD","givingUpDistributionMean","givingUpDistributionSD","serviceLevelNoiseMin","serviceLevelNoiseMax","givingUpProb","allocationProbability","productionCsvFile"
0,1,0.03,0,0.03,0,0.1,0.2,1,"/production/NCOF_Livestock.csv"
1,1,0.03,0,0.03,0,0.1,0.2,0.3,"/production/NCOF_Livestock.csv"
