"aftParamId","givingInDistributionMean","givingInDistributionSD","givingUpDistributionMean","givingUpDistributionSD","serviceLevelNoiseMin","serviceLevelNoiseMax","givingUpProb","allocationProbability","productionCsvFile"
0,0.1,0.03,0,0.03,0,0.1,0.2,1,"/production/COF_Cereal.csv"
1,0.1,0.03,0,0.03,0,0.1,0.2,0.3,"/production/COF_Cereal.csv"
