"x","y","Cprod","Infra","Econ","Lprod","Nat","Fprod","FR","BT"
2842,2712,0.2919816,0.5041361,0,0.1448669,0.4953001,0.5305087,"NCConv_Livestock",1
2842,2713,0.2961312,0.5219147,0.5251346,0.1446658,0.4957261,0.5306193,"Forester",0
2842,2714,0.2919816,0.5419387,0.5844878,0.1444798,0.4962112,0.5306314,"NCConv_Livestock",5
2842,2715,0.3113577,0.5648585,0.5699403,0.1443056,0.4968818,0.5305785,"NCConv_Cereal",4
2842,2716,0.3187681,0.5916555,0.5699403,0.1441479,0.497738,0.5304451,"Forester",0
2842,2717,0.3187681,0.6239139,0.6287714,0.1439946,0.4987798,0.5302619,"Forester",0
2842,2718,0.3184508,0.6644451,0.6287714,0.1438593,0.5001243,0.5299646,"NCConv_Livestock",2
2842,2719,0.3218116,0.6800683,0.6517905,0.1437383,0.5017716,0.5296304,"NCConv_Livestock",2
2842,2720,0.3195379,0.7100448,0.6517905,0.1436287,0.5036874,0.5292747,"NCConv_Livestock",3
2842,2721,0.3249898,0.6800683,0.6517905,0.1435368,0.5059372,0.528929,"NCConv_Livestock",5
2842,2722,0.3176573,0.6358798,0.5699403,0.1434567,0.5084893,0.5285887,"NCConv_Cereal",1
2842,2723,0.3187681,0.6013519,0.5699403,0.1433893,0.5113439,0.5282237,"Forester",0
2842,2724,0.3183469,0.5861959,0.5699403,0.1433334,0.5144915,0.5278298,"Forester",0
2842,2725,0.3183469,0.5800488,0.5699403,0.1434119,0.5177686,0.5274059,"Forester",0
2842,2726,0.3187681,0.569198,0.6386488,0.1436281,0.5211522,0.5270232,"Forester",0
2842,2727,0.3062071,0.5590418,0.5801339,0.1439892,0.5251113,0.5266879,"Forester",0
2842,2728,0.3187681,0.5494966,0.6619841,0.144491,0.5294875,0.52638,"NCConv_Livestock",4
2842,2729,0.3218116,0.5404929,0.6386488,0.1451366,0.5341955,0.5257372,"NCConv_Cereal",1
2842,2730,0.3198724,0.5319727,0.5801339,0.1459065,0.5385637,0.524658,"Forester",0
2842,2731,0.3216687,0.5238865,0.6386488,0.1466868,0.5435217,0.523027,"Forester",0
2842,2732,0.3062071,0.5263393,0.6619841,0.1473604,0.5483497,0.5213281,"NCConv_Livestock",5
2842,2733,0.3062071,0.5469677,0.5801339,0.1484217,0.5528936,0.5189573,"Forester",0
2842,2734,0,0,0,0,0,0,"UNMANAGED",0
2842,2735,0.3058238,0.598575,0.6287714,0.1506271,0.562894,0.5132041,"NCConv_Livestock",1
2842,2736,0.3198724,0.6324353,0.5066124,0.1517795,0.5680113,0.5098778,"NCConv_Cereal",4
2842,2737,0.3215259,0.6755339,0.6517905,0.1529821,0.573598,0.5065166,"NCConv_Cereal",2
2842,2738,0.3175883,0.734884,0.6287714,0.1535682,0.5788149,0.5040614,"Forester",0
2842,2739,0.3198724,0.7789566,0.6287714,0.1539672,0.5848602,0.5019428,"Forester",0
2842,2740,0.3221659,0.7818862,0.5699403,0.1542441,0.5909545,0.5000372,"Forester",0
2842,2741,0.3221659,0.7369971,0.6287714,0.1545704,0.5966887,0.4980717,"Forester",0
2842,2742,0.3176573,0.6769847,0.6287714,0.1549335,0.6016243,0.4961253,"Forester",0
2842,2743,0.3176573,0.63354,0.6303201,0.1553559,0.6059297,0.4945118,"NCOF_Cereal",9
2842,2744,0.3176573,0.6071006,0.6303201,0.1558293,0.6096966,0.4930208,"NCConv_Cereal",5
2842,2745,0.3190706,0.6430574,0.7581967,0.1563278,0.6132454,0.4914132,"NCConv_Cereal",3
2842,2747,0.3208767,0.7557942,0.5066124,0.1574826,0.6204588,0.4875397,"NCConv_Livestock",5
2842,2748,0.3239697,0.8063994,0,0.1581393,0.6241361,0.4852634,"NCConv_Cereal",2
2842,2749,0.3242243,0.808929,0.6303201,0.1588591,0.6278716,0.4828497,"NCConv_Livestock",3
2842,2750,0.3291574,0.7576292,0.5066124,0.1596517,0.6316762,0.4802775,"NCConv_Livestock",4
2842,2751,0.3211139,0.6908276,0.5066124,0.160497,0.6352827,0.4776001,"NCConv_Livestock",4
2842,2752,0.3099638,0.6439567,0.5066124,0.1614695,0.6392753,0.474638,"NCConv_Livestock",1
2843,2596,0.3501283,0.4034702,0.5006839,0.3487754,0.6494902,0.4564714,"NCConv_Livestock",4
2843,2597,0.3168208,0.4126509,0.5785593,0.3484906,0.6450712,0.4572294,"Forester",0
2843,2598,0.3188921,0.4223953,0.4373559,0.3482057,0.6408692,0.4580843,"NCConv_Livestock",3
2843,2599,0.3188921,0.4327773,0.5006839,0.3479206,0.6368843,0.4589359,"Forester",0
2843,2600,0.3176125,0.4438862,0.4373559,0.3476427,0.6331165,0.4597842,"NCConv_Livestock",4
2843,2601,0.3176125,0.4558314,0.4435512,0.347379,0.6295658,0.4606293,"NCConv_Livestock",2
2843,2602,0,0,0,0,0,0,"UNMANAGED",0
2843,2603,0.3204224,0.4828123,0.5439237,0.3468947,0.6231155,0.4623098,"NCConv_Cereal",4
2843,2604,0.3540595,0.4908982,0.4435512,0.3466739,0.6202159,0.4631451,"NCConv_Cereal",2
2843,2605,0.3569503,0.4913501,0.4937374,0.3464675,0.6175334,0.4639771,"Forester",0
2843,2606,0.359047,0.4832622,0.5702071,0.3462754,0.615068,0.4648059,"Forester",0
2843,2607,0.3543677,0.469161,0.5702071,0.3460976,0.6128196,0.4656314,"NCConv_Livestock",2
2843,2608,0.3501515,0.4562109,0.5439237,0.3459343,0.6107883,0.4664537,"NCConv_Cereal",4
2843,2609,0.3497186,0.4464803,0.4435512,0.3457855,0.608974,0.4672823,"Forester",0
2843,2610,0.3501515,0.4351948,0.4937374,0.3449411,0.6071989,0.4681069,"Forester",0
2843,2611,0.3500302,0.4246586,0.4435512,0.3431185,0.605463,0.4689489,"Forester",0
2843,2612,0.3480929,0.4181127,0.4937374,0.3407435,0.6037662,0.4697971,"NCConv_Livestock",5
2843,2613,0.3557667,0.4095442,0.4937374,0.338383,0.602168,0.4706517,"Forester",0
2843,2614,0.3341777,0.4057538,0.4937374,0.335612,0.6006684,0.4714933,"Forester",0
2843,2615,0.3341777,0.3969529,0.4937374,0.3322894,0.5991155,0.4723218,"Forester",0
2843,2616,0.3341777,0.3886144,0.4937374,0.3286989,0.5978167,0.4731374,"Forester",0
2843,2617,0.3332902,0.3833766,0.4937374,0.3244154,0.5966163,0.4739399,"NCConv_Livestock",4
2843,2618,0.3564987,0.3764561,0.4435512,0.3194417,0.5955142,0.4747294,"NCConv_Livestock",4
2843,2619,0.3557667,0.373372,0.4937374,0.3145347,0.5945104,0.4754699,"Forester",0
2843,2620,0.3586831,0.366159,0.4937374,0.3095636,0.593605,0.4762322,"NCConv_Livestock",3
2843,2621,0.3290548,0.3592595,0.4937374,0.3045625,0.5930571,0.4769814,"Forester",0
2843,2622,0.3341777,0.354894,0.4937374,0.2995313,0.5923513,0.4777177,"Forester",0
2843,2623,0.3341777,0.3490897,0.4937374,0.29447,0.5917434,0.4784409,"Forester",0
2843,2624,0.299811,0.3464901,0.4937374,0.2893787,0.5912334,0.479133,"NCConv_Livestock",2
2843,2625,0.299811,0.3409884,0.4435512,0.2844053,0.5907825,0.4797659,"Forester",0
2843,2626,0.2732129,0.3385171,0.4373559,0.2793626,0.5903907,0.4803835,"NCConv_Livestock",1
2843,2627,0.2717194,0.3327004,0.4690199,0.2742821,0.5900578,0.4809686,"NCConv_Livestock",4
2843,2628,0.2732129,0.3270893,0.4690199,0.2690756,0.5895278,0.4815357,"NCConv_Livestock",4
2843,2629,0.3192503,0.3235083,0.4690199,0.2638395,0.5888005,0.4820941,"Forester",0
2843,2630,0.3197567,0.3187371,0.4690199,0.2586581,0.587876,0.4826367,"NCConv_Livestock",5
2843,2631,0.3108781,0.3203434,0.4690199,0.2536266,0.5866577,0.4831784,"NCConv_Livestock",3
2843,2632,0.3277161,0.3227689,0.4690199,0.2486411,0.5853369,0.4837081,"NCConv_Livestock",2
2843,2633,0.3108781,0.3282266,0.4690199,0.2436766,0.5838187,0.4842332,"Forester",0
2843,2634,0.3277161,0.3305495,0.4373559,0.2386805,0.5821029,0.4847496,"Forester",0
2843,2635,0.2717194,0.3328988,0.4690199,0.2336527,0.5801896,0.4852575,"NCConv_Livestock",4
2843,2636,0.2732129,0.3352835,0.4875421,0.2285933,0.5780478,0.4857568,"NCConv_Livestock",4
2843,2637,0.2717194,0.3377046,0.4875421,0.2236329,0.5757363,0.4862475,"NCConv_Livestock",2
2843,2638,0.3277161,0.3401714,0.4875421,0.2187559,0.5732271,0.4867269,"Forester",0
2843,2639,0.3443192,0.345026,0.4875421,0.2138523,0.5705201,0.4871808,"Forester",0
2843,2640,0.3400115,0.3476015,0,0.2089441,0.5675562,0.4876057,"Forester",0
2843,2641,0.3412208,0.3533506,0,0.2041656,0.5643352,0.4880017,"NCConv_Livestock",3
2843,2642,0,0,0,0,0,0,"UNMANAGED",0
2843,2643,0,0,0,0,0,0,"UNMANAGED",0
2843,2644,0,0,0,0,0,0,"UNMANAGED",0
2843,2645,0,0,0,0,0,0,"UNMANAGED",0
2843,2646,0,0,0,0,0,0,"UNMANAGED",0
2843,2647,0.2964674,0.373947,0.4435512,0.1817154,0.5435946,0.4896908,"NCConv_Livestock",5
2843,2648,0.369588,0.3770424,0.4937374,0.1795927,0.5401936,0.4898361,"NCConv_Livestock",4
2843,2649,0.3595796,0.38021,0.5607219,0.177896,0.5368443,0.4899428,"Forester",0
2843,2650,0.3619431,0.3834312,0.4752152,0.1768964,0.5334209,0.4900107,"NCConv_Cereal",4
2843,2651,0.3750861,0.3867191,0.5385432,0.1761979,0.5299454,0.4900456,"Forester",0
2843,2652,0.3600586,0.3900766,0.5385432,0.176191,0.5264728,0.4900362,"NCConv_Livestock",5
2843,2653,0.369588,0.3958863,0.4752152,0.1770211,0.5230032,0.489988,"NCConv_Cereal",1
2843,2654,0.3600586,0.4046266,0.4752152,0.1778512,0.5195365,0.4899871,"NCOF_Cereal",7
2843,2655,0.3619431,0.4138764,0.5385432,0.1787082,0.5163718,0.4900333,"NCConv_Cereal",4
2843,2656,0.3619431,0.4236988,0.5385432,0.1796215,0.5134245,0.4901265,"NCConv_Cereal",3
2843,2657,0.3643568,0.4341692,0.5385432,0.1804318,0.5107392,0.4902616,"NCConv_Cereal",5
2843,2658,0.3670998,0.4453795,0.5385432,0.181413,0.5084521,0.4904316,"NCConv_Cereal",1
2843,2659,0.3619431,0.457442,0.5385432,0.1822639,0.5061538,0.4906856,"NCConv_Cereal",4
2843,2660,0.3600586,0.4704972,0.5385432,0.1831454,0.5040185,0.4910052,"Forester",0
2843,2661,0.3670998,0.4847231,0.4752152,0.1840391,0.502101,0.491392,"NCConv_Livestock",2
2843,2662,0.3600586,0.5003506,0.5607219,0.1849614,0.5003753,0.4918462,"Forester",0
2843,2663,0.3753874,0.5057326,0.4752152,0.1859322,0.4989827,0.4923618,"NCConv_Livestock",3
2843,2664,0.3565037,0.5151124,0.4752152,0.1868034,0.4976428,0.492943,"Forester",0
2843,2665,0.3622896,0.5057326,0.4435512,0.1876783,0.4964945,0.493588,"Forester",0
2843,2666,0.3565037,0.4895926,0.4752152,0.1882098,0.4955379,0.4942996,"Forester",0
2843,2667,0.3864415,0.4749433,0.4752152,0.1887448,0.4947729,0.4950708,"NCConv_Livestock",2
2843,2668,0.3877387,0.4615326,0.5385432,0.1892372,0.4941997,0.4958774,"NCConv_Livestock",5
2843,2669,0.3877387,0.4491671,0.4435512,0.1896008,0.4938033,0.496749,"NCConv_Livestock",5
2843,2670,0.3344263,0.4532337,0.5277077,0.1899966,0.4933522,0.4976496,"Forester",0
2843,2671,0.3310108,0.4659332,0,0.1902951,0.4928312,0.4985793,"Forester",0
2843,2672,0.3387777,0.471502,0.4704797,0.1903651,0.4922655,0.4995379,"NCConv_Livestock",1
2843,2673,0.3344263,0.4772732,0.4704797,0.1902689,0.4917197,0.5005057,"NCConv_Livestock",3
