Service,Cprod,Fprod,Infra,Lprod,Nat,Econ,Production
Meat,0,0,0,0,0,0,0
Cereal,0,0,0,0,0,0,0
Recreation,0,0,0,0,0,0,0
Timber,0,0,0,0,0,0,0
OF_Meat,0,0,0,0,0,0,0
OF_Cereal,0.8,0.2,0.7,0.2,0,0.5,0.9835451151
