"",Cprod,Fprod,Infra,Lprod,Nat,Econ,Production
Meat,0,0,0,0,0,0,0
Cereal,0,0,0,0,0,0,0
Recreation,0.1,0.1,0,0.1,0.1,0,0.0413
Timber,0,0,0,0,0,0,0
OF_Meat,0,0,0,0,0,0,0
OF_Cereal,0.5,0.1,0.4,0.1,0.05,0.2,0.5901270691
