Service,Cprod,Fprod,Infra,Lprod,Nat,Econ,Production
Meat,0,0,0,0,0,0,0
Cereal,0,0,0,0,0,0,0
Recreation,0,0,0,0,0,0,0
Timber,0,0,0,0,0,0,0
OF_Meat,0.6,0.2,0.6,0.5,0,0.4,0.7312306575
OF_Cereal,0,0,0,0,0,0,0
