"Description","Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"OF_Cereal","EE",713.15,677.37,652.12,639.35,583.405,527.46,442.75,358.04,358.04,358.04,358.04,358.04,358.04,358.04,358.04,358.04
"OF_Cereal","LV",1245.96,1035.79,987.85,1049.08,996.345,943.61,986.96,1008.06,1028,329.98,329.98,329.98,329.98,329.98,329.98,329.98
"OF_Livestock","EE",826.84,862.1,842.8,765.6,716.43,624.59,519.36,475.32,114.41,118.32,123.97,123.97,123.97,123.97,123.97,123.97
"OF_Livestock","LV",1057.01,989.18,861.61,897.15,811.32,659.26,559.59,519.67,367.48,1032.22,252.23,152.3,152.3,152.3,152.3,152.3
