Scenario,AftScenario,AFT,givingInDistributionMean,givingInDistributionSD,givingUpDistributionMean,givingUpDistributionSD,serviceLevelNoiseMin,serviceLevelNoiseMax,givingUpProb
B1,A,CConv_Cereal,0.1,0.03,0,0.03,0,0.1,0.2
B1,A,NCConv_Cereal,1,0.03,0,0.03,0,0.1,0.2
B1,A,CConv_Livestock,0.1,0.03,0,0.03,0,0.1,0.2
B1,A,NCConv_Livestock,1,0.03,0,0.03,0,0.1,0.2
B1,A,Forester,1,0.03,0,0.03,0,0.1,0.2
B1,A,COF_Cereal,0.1,0.03,0,0.03,0,0.1,0.2
B1,A,NCOF_Cereal,1,0.03,0,0.03,0,0.1,0.2
B1,A,COF_Livestock,0.1,0.03,0,0.03,0,0.1,0.2
B1,A,NCOF_Livestock,1,0.03,0,0.03,0,0.1,0.2
