"Description","Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"OF_Cereal","EE",281.68,271.82,230.9,236.26,204.93,192.71,162.79,117.21,99.17,85.2,68.4,68.4,68.4,68.4,68.4,68.4
"OF_Cereal","LV",369.09,313.9,279.84,307.71,262.57,266.99,299.55,293.16,285.44,280.45,165.075,49.7,49.7,49.7,49.7,49.7
"OF_Livestock","EE",826.84,862.1,842.8,765.6,716.43,624.59,519.36,475.32,114.41,118.32,123.97,123.97,123.97,123.97,123.97,123.97
"OF_Livestock","LV",1057.01,989.18,861.61,897.15,811.32,659.26,559.59,519.67,367.48,1032.22,252.23,152.3,152.3,152.3,152.3,152.3
