FR,UNMANAGED,COF_Cereal,NCOF_Cereal,COF_Livestock,NCOF_Livestock,CConv_Cereal,NCConv_Cereal,CConv_Livestock,NCConv_Livestock,Forester
UNMANAGED,0,1,1,1,1,0,0,0,0,0
COF_Cereal,0,1,1,1,1,0,0,0,0,0
NCOF_Cereal,0,1,1,1,1,0,0,0,0,0
COF_Livestock,0,1,1,1,1,0,0,0,0,0
NCOF_Livestock,0,1,1,1,1,0,0,0,0,0
CConv_Cereal,0,1,1,1,1,0,0,0,0,0
NCConv_Cereal,0,1,1,1,1,0,0,0,0,0
CConv_Livestock,0,1,1,1,1,0,0,0,0,0
NCConv_Livestock,0,1,1,1,1,0,0,0,0,0
Forester,0,1,1,1,1,0,0,0,0,0
