"Service","Cprod","Fprod","Infra","Lprod","Nat","Econ","Production"
"Meat",0,0,0,0,0,0,"(CTICK-START_TICK<=1)0"
"Cereal",0.5,0.1,0.4,0.1,0.05,0.2,"(CTICK-START_TICK<=1)170.978874779809"
"Recreation",0.1,0.1,0,0.1,0.1,0,"0.000660666877956513"
"Timber",0,0,0,0,0,0,"0"
"OF_Meat",0,0,0,0,0,0,"(CTICK-START_TICK>1)0"
"OF_Cereal",0.5,0.1,0.4,0.1,0.05,0.2,"(CTICK-START_TICK>1)170.978874779809"
