"Service","Cprod","Fprod","Infra","Lprod","Nat","Econ","Production"
"Meat",0,0,0,0,0,0,"0"
"Cereal",0,0,0,0,0,0,"0"
"Recreation",0.1,0.1,0,0.1,0.1,0,"0.000660666877956513"
"Timber",0.2,0.6,0.1,0.2,0.05,0.1,"4.40618061504547"
"OF_Meat",0,0,0,0,0,0,"0"
"OF_Cereal",0,0,0,0,0,0,"0"
