"Service","Cprod","Fprod","Infra","Lprod","Nat","Econ","Production"
"Meat",0,0,0,0,0,0,"(CTICK-START_TICK<=1)12.8989087983"
"Cereal",0,0,0,0,0,0,"(CTICK-START_TICK<=1)0"
"Recreation",0.1,0.1,0,0.1,0.1,0,"0.0413"
"Timber",0,0,0,0,0,0,"0"
"OF_Meat",0.3,0.1,0.3,0.4,0.05,0.1,"(CTICK-START_TICK>1)12.8989087983"
"OF_Cereal",0,0,0,0,0,0,"(CTICK-START_TICK>1)0"
